City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
310,Ulaanbaatar,MN,47.9077,106.8832,-8.09,95,13,2.75,few clouds
311,Porto Novo,BJ,6.4965,2.6036,77.38,49,100,3.38,overcast clouds
312,Vagur,FO,61.4732,-6.8119,39.67,63,80,22.66,broken clouds
313,Ewa Beach,US,21.3156,-158.0072,80.55,54,1,12.66,clear sky
314,Mirandopolis,BR,-21.1336,-51.1017,81.16,52,14,7.63,few clouds
315,Muli,MV,2.9167,73.5667,82.06,69,92,8.66,overcast clouds
316,Taunggyi,MM,20.7833,97.0333,50.85,90,0,3.06,clear sky
317,Ugoofaaru,MV,5.6667,73.0,80.8,72,77,10.09,broken clouds
318,Pangkalanbuun,ID,-2.6833,111.6167,81.07,82,95,2.33,overcast clouds
319,Dalvik,IS,65.9702,-18.5286,15.73,85,19,9.57,few clouds
320,Ulladulla,AU,-35.35,150.4667,72.77,95,100,1.99,overcast clouds
321,Lardos,GR,36.0942,28.0157,49.82,59,4,17.45,clear sky
322,Isetskoye,RU,56.4858,65.3226,1.69,95,6,7.67,clear sky
323,Krasnoselkup,RU,65.7,82.4667,8.06,88,100,24.54,overcast clouds
324,Sarai,RU,53.7458,41.0213,-3.87,95,99,8.7,overcast clouds
325,Emba,KZ,48.8264,58.1442,24.04,82,100,8.05,overcast clouds
326,Ishigaki,JP,24.3448,124.1572,73.53,88,40,17.27,scattered clouds
327,Cidreira,BR,-30.1811,-50.2056,69.26,74,0,11.14,clear sky
328,Nanortalik,GL,60.1432,-45.2371,36.25,73,100,12.1,overcast clouds
329,Sirajganj,BD,24.45,89.7167,64.04,68,4,3.8,clear sky
330,Arman,RU,59.7,150.1667,-1.61,79,100,14.67,overcast clouds
331,Nome,US,64.5011,-165.4064,17.67,86,90,16.11,snow
332,Kavaratti,IN,10.5669,72.642,78.84,61,100,2.98,overcast clouds
333,Aleksandrov Gay,RU,50.147,48.5704,10.17,73,100,17.43,overcast clouds
334,Pacaembu,BR,-21.5622,-51.2606,81.21,49,28,5.66,scattered clouds
335,San Quintin,MX,30.4833,-115.95,60.75,75,100,6.91,overcast clouds
336,Labuan,MY,5.2767,115.2417,82.76,88,20,0.0,few clouds
337,Seoul,KR,37.5683,126.9778,35.04,86,0,2.3,clear sky
338,Nhulunbuy,AU,-12.2333,136.7667,90.21,58,75,8.05,broken clouds
339,Lexington,US,37.9887,-84.4777,30.2,53,1,0.0,clear sky
340,Jacareacanga,BR,-6.2222,-57.7528,76.77,92,100,2.46,heavy intensity rain
341,Maceio,BR,-9.6658,-35.7353,80.04,83,40,4.61,scattered clouds
342,Acapulco,MX,16.8634,-99.8901,82.22,78,20,4.61,few clouds
343,Luganville,VU,-15.5333,167.1667,85.73,70,28,6.11,scattered clouds
